Country ISO3,Year,Indicator Code,Value
#country+code,#date+year,#indicator+code,#indicator+value+num
ZAF,2004,AG.AGR.TRAC.NO,63200
ZAF,2003,AG.AGR.TRAC.NO,65475
ZAF,2002,AG.AGR.TRAC.NO,67750
ZAF,2001,AG.AGR.TRAC.NO,70025
ZAF,2000,AG.AGR.TRAC.NO,72300
ZAF,1999,AG.AGR.TRAC.NO,75500
ZAF,1998,AG.AGR.TRAC.NO,88000
ZAF,1997,AG.AGR.TRAC.NO,100000
ZAF,1996,AG.AGR.TRAC.NO,115000
ZAF,1995,AG.AGR.TRAC.NO,130193
ZAF,1994,AG.AGR.TRAC.NO,125885
ZAF,1993,AG.AGR.TRAC.NO,121000
ZAF,1992,AG.AGR.TRAC.NO,131000
ZAF,1991,AG.AGR.TRAC.NO,140000
ZAF,1990,AG.AGR.TRAC.NO,145000
ZAF,1989,AG.AGR.TRAC.NO,150000
ZAF,1988,AG.AGR.TRAC.NO,155000
ZAF,1987,AG.AGR.TRAC.NO,160000
ZAF,1986,AG.AGR.TRAC.NO,169000
ZAF,1985,AG.AGR.TRAC.NO,169500
ZAF,1984,AG.AGR.TRAC.NO,170000
ZAF,1983,AG.AGR.TRAC.NO,170669
ZAF,1982,AG.AGR.TRAC.NO,173000
ZAF,1981,AG.AGR.TRAC.NO,175557
ZAF,1980,AG.AGR.TRAC.NO,172725
ZAF,1979,AG.AGR.TRAC.NO,173960
ZAF,1978,AG.AGR.TRAC.NO,173133
ZAF,1977,AG.AGR.TRAC.NO,173400
ZAF,1976,AG.AGR.TRAC.NO,173570
ZAF,1975,AG.AGR.TRAC.NO,167981
ZAF,1974,AG.AGR.TRAC.NO,166305
ZAF,1973,AG.AGR.TRAC.NO,164149
ZAF,1972,AG.AGR.TRAC.NO,161052
ZAF,1971,AG.AGR.TRAC.NO,157127
ZAF,1970,AG.AGR.TRAC.NO,156000
ZAF,1969,AG.AGR.TRAC.NO,152000
ZAF,1968,AG.AGR.TRAC.NO,147884
ZAF,1967,AG.AGR.TRAC.NO,145936
ZAF,1966,AG.AGR.TRAC.NO,142000
ZAF,1965,AG.AGR.TRAC.NO,138422
ZAF,1964,AG.AGR.TRAC.NO,133552
ZAF,1963,AG.AGR.TRAC.NO,130000
ZAF,1962,AG.AGR.TRAC.NO,126923
ZAF,1961,AG.AGR.TRAC.NO,122218
ZAF,2022,SP.RUR.TOTL,18965399
ZAF,2021,SP.RUR.TOTL,19096392
ZAF,2020,SP.RUR.TOTL,19196477
ZAF,2019,SP.RUR.TOTL,19252374
ZAF,2018,SP.RUR.TOTL,19291920
ZAF,2017,SP.RUR.TOTL,19342973
ZAF,2016,SP.RUR.TOTL,19555396
ZAF,2015,SP.RUR.TOTL,19652884
ZAF,2014,SP.RUR.TOTL,19531882
ZAF,2013,SP.RUR.TOTL,19506020
ZAF,2012,SP.RUR.TOTL,19519108
ZAF,2011,SP.RUR.TOTL,19537236
ZAF,2010,SP.RUR.TOTL,19565379
ZAF,2009,SP.RUR.TOTL,19605061
ZAF,2008,SP.RUR.TOTL,19642795
ZAF,2007,SP.RUR.TOTL,19690462
ZAF,2006,SP.RUR.TOTL,19758594
ZAF,2005,SP.RUR.TOTL,19834298
ZAF,2004,SP.RUR.TOTL,19911388
ZAF,2003,SP.RUR.TOTL,19989156
ZAF,2002,SP.RUR.TOTL,20066451
ZAF,2001,SP.RUR.TOTL,20134972
ZAF,2000,SP.RUR.TOTL,20180731
ZAF,1999,SP.RUR.TOTL,20209901
ZAF,1998,SP.RUR.TOTL,20207050
ZAF,1997,SP.RUR.TOTL,20174942
ZAF,1996,SP.RUR.TOTL,20112460
ZAF,1995,SP.RUR.TOTL,20019826
ZAF,1994,SP.RUR.TOTL,19901541
ZAF,1993,SP.RUR.TOTL,19765399
ZAF,1992,SP.RUR.TOTL,19611686
ZAF,1991,SP.RUR.TOTL,19410614
ZAF,1990,SP.RUR.TOTL,19126479
ZAF,1989,SP.RUR.TOTL,18752378
ZAF,1988,SP.RUR.TOTL,18333458
ZAF,1987,SP.RUR.TOTL,17901103
ZAF,1986,SP.RUR.TOTL,17472051
ZAF,1985,SP.RUR.TOTL,17088451
ZAF,1984,SP.RUR.TOTL,16682950
ZAF,1983,SP.RUR.TOTL,16276095
ZAF,1982,SP.RUR.TOTL,15897127
ZAF,1981,SP.RUR.TOTL,15542257
ZAF,1980,SP.RUR.TOTL,15195825
ZAF,1979,SP.RUR.TOTL,14822295
ZAF,1978,SP.RUR.TOTL,14449835
ZAF,1977,SP.RUR.TOTL,14081628
ZAF,1976,SP.RUR.TOTL,13725004
ZAF,1975,SP.RUR.TOTL,13376443
ZAF,1974,SP.RUR.TOTL,13027761
ZAF,1973,SP.RUR.TOTL,12681589
ZAF,1972,SP.RUR.TOTL,12340050
ZAF,1971,SP.RUR.TOTL,12006521
ZAF,1970,SP.RUR.TOTL,11674243
ZAF,1969,SP.RUR.TOTL,11350436
ZAF,1968,SP.RUR.TOTL,11032588
ZAF,1967,SP.RUR.TOTL,10720504
ZAF,1966,SP.RUR.TOTL,10416940
ZAF,1965,SP.RUR.TOTL,10121629
ZAF,1964,SP.RUR.TOTL,9834713
ZAF,1963,SP.RUR.TOTL,9558766
ZAF,1962,SP.RUR.TOTL,9293113
ZAF,1961,SP.RUR.TOTL,9039584
ZAF,1960,SP.RUR.TOTL,8818777
ZAF,2012,EN.AGR.EMPL,1121000
ZAF,2011,EN.AGR.EMPL,1154000
ZAF,2010,EN.AGR.EMPL,1188000
ZAF,2009,EN.AGR.EMPL,1221000
ZAF,2008,EN.AGR.EMPL,1254000
ZAF,2007,EN.AGR.EMPL,1286000
ZAF,2006,EN.AGR.EMPL,1306000
ZAF,2005,EN.AGR.EMPL,1341000
ZAF,2004,EN.AGR.EMPL,1375000
ZAF,2003,EN.AGR.EMPL,1408000
ZAF,2002,EN.AGR.EMPL,1433000
ZAF,2001,EN.AGR.EMPL,1458000
ZAF,2000,EN.AGR.EMPL,1482000
ZAF,1999,EN.AGR.EMPL,1506000
ZAF,1998,EN.AGR.EMPL,1527000
ZAF,1997,EN.AGR.EMPL,1548000
ZAF,1996,EN.AGR.EMPL,1568000
ZAF,1995,EN.AGR.EMPL,1584000
ZAF,1994,EN.AGR.EMPL,1595000
ZAF,1993,EN.AGR.EMPL,1601000
ZAF,1992,EN.AGR.EMPL,1603000
ZAF,1991,EN.AGR.EMPL,1605000
ZAF,1990,EN.AGR.EMPL,1614000
ZAF,1989,EN.AGR.EMPL,1620000
ZAF,1988,EN.AGR.EMPL,1629000
ZAF,1987,EN.AGR.EMPL,1641000
ZAF,1986,EN.AGR.EMPL,1650000
ZAF,1985,EN.AGR.EMPL,1655000
ZAF,1984,EN.AGR.EMPL,1648000
ZAF,1983,EN.AGR.EMPL,1640000
ZAF,1982,EN.AGR.EMPL,1628000
ZAF,1981,EN.AGR.EMPL,1616000
ZAF,1980,EN.AGR.EMPL,1606000
